No;Namatempat;Alamat ;Hargatiket;Tahundibangun;Rating;Penjelasan
1;Namsan Tower; Namsangongwon-gil, Yongsan igadong, Yongsangu, Seoul, South Korea;148000;1980;4.6;Namsan Tower merupakan menara yang saat ini digunakan sebagai pemancar gelombang radio pertama di Korea Selatan. Namsan tower memiliki tinggi 777 kaki dan dari menara tersebut kita dapat melihat keindahan kota seoul 360 derajat. Berdasarkan Survey Namsan Tower dinobatkan sebagai objek wisata nomor satu di Seoul Korea Selatan.
2;Lotte world seoul; Olympic-ro, Songpa-gu, Seoul, South Korea;430000;1989;4.2;Lotte Worls Seoul merupakan tempat rekreasi dengan berbagai macam wahana baik indoor maupun outdoor. Lotte World juga menghadirkan berbagai parade dan laser show. 200 pemain bernyanyi dan menari untuk musik di World Carnival Parade,
3;Osulloc tea museum;Sinhwayeoksa-ro, Seogwipo-si, Jejudo, South Korea;0;2001;4.1;Museum Teh Osulloc ini memiliki galeri teh, tempat istirahat ramah lingkungan, dan kafe tempat pengunjung dapat menikmati berbagai makanan penutup berbahan dasar teh. Di tempat ini juga menampilkan peralatan dan peralatan teh yang tak ternilai dari Periode Tiga Kerajaan hingga Dinasti Joseon dalam histori Korea
4;Gwangjang Market; Changgyeonggung-ro, Jongno-gu, Seoul, South Korea;0;1905;4.1;pasar tradisional yang terkenal menjual barang sutra berkualitas dan barang buatan tangan. Sejarahnya, Gwangjang Market berusia lebih dari 100 tahun. Bukan hanya itu, Gwangjang Market menjual beragam varian street food Korea.
5;Dongdaemun Market; Jong-ro, Jung-gu, Seoul, South Korea;0;1905;4.3;Dongdaemun Market adalah pusat perbelanjaan yang besar yang terdiri dari pasar tradisional juga modern.Dongdaemun ini juga menjadi surag belanja bagi pecinta fashion.Produk fashion yang dijual di Dongdaemun Market merupakan tren terbaru dengan kualitas terbaik.
6;Gyeongbokgung;Sajik-ro, Jongno-gu, Seoul, South Korea;32300;1395;4.6;Tempat wisata gyeongbok merupakan simbol keagungan kerajaan dan rakyat Korea. Pengunjung bisa melihat nuansa kerajaan yang megah karena selain melihat bangunan istana yang luas, akan ada penjaga istana lengkap dengan pakaian khas masa Dinasti Joseon yang berdiri di beberapa sudut istana.
7;Bukchon Hanok Village;Jongno-gu, South Korea, Seoul, South Korea;0;1392;4.3;Bukchon Hanok Village adalah tempat yang tepat bagi kamu untuk merasakan lingkungan desa Korea dan melihat rumah-rumah tua di Korea. Ada juga berbagai museum menarik dan pusat budaya yang terletak di daerah termasuk Pusat Budaya Tradisional Bukchon, Pusat Warisan Budaya Takbenda Seoul, Museum Donglim Knot, Museum Gahoe, Museum Bordir Han Sangsu, Museum Seni Asia Bukchon, dan Museum Burung Hantu.
8;Everland Theme Park;Everland-ro, Pogok-eup, Cheoin-gu, Yongin-si, Gyeonggi-do;445000;1976;4.5;Everland memiliki luas mencapai 100 hekter. Everland pernah mendapatkan predikat sebagai taman hiburan terbaik peringkat 10 di dunia. Everland menyuguhkan beberapa area yang tak kalah seru seperti Global Fair, American Adventure, Zootopia, Europian Adventure, Magic Land dan juga berbagai festival musiman
9;Nami Island;Namisum-gil, Namsan-myeon, Chuncheon-si, Gangwon-do, South Korea;170000;1944;4.4;Nami Island adalah sebuah pulau mungil berbentuk setengah bulan. Keindahan Nami Island menyuguhkan pemandangan musim gugur yang indah, Pemandangan musim gugur ini tiba di Korea Selatan sekitar akhir Oktober hingga awal November. Nuansa merah dan oranye akan mewarnai pulau Nami.
10;Gamcheon Culture Village; Gamnae ilro, Saha-gu, Busan, South Korea;0;1950;4.3;Gamcheon Culture Village. merupakan sebuah desa budaya yang berada di Busan Korea Selatan. Hingga sekarang wisatawan ramai berkunjung di desa ini. Rencana tersebut memiliki tujuan untuk mengubah desa menjadi komunitas kreatif yang dijalankan oleh penduduk, seniman, dan kantor administrasi setempat. Dengan kerja sama mereka telah mengubah Gamcheon menjadi tempat yang penuh warna. 
11;Coex Aquarium;Yeongdong-daero, Gangnam-gu,South Korea;242000;2000;4.2;Coex Aquarium adalah salah satu akuarium terbesar di Korea. Coex Aquarium merupakan rumah bagi lebih dari 4.000 makhluk laut dari lebih dari 650 spesies.
12;Garden of Morning Calm;Sumogwon-ro, Sang-myeon, Gapyeong-gun, Gyeonggi-do, South Korea;108000;1996;4.6;Garden of Morning Calm adalah taman pribadi terbesar di Korea Selatan  luas 300,000 meter persegi,. Terdapat 20 section taman yang satu sama lain dihubungkan dengan jalan yang dipenuhi bunga. Tempat ini juga menyuguhkan tempat seperti spot foto, tempat nongkrong, tempat souvenir, dan lain lain
13;DDP (Dongdaemun Design Plaza);Jong-ro, Jongno-gu, Seoul ;0;2009;4.3;Dongdaemun Design Plaza merupakan sebuah landmark yang didesain bergaya neofuturistic. Dongdaemun Design Plaza Dongdaemun terkenal dengan pusat perbelanjaannya dan juga dikenal sebagai pusat industri kreatif, karena kebanyakan acara yang digelar di sini berhubungan dengan industri tersebut, seperti pameran desain atau fashion show. 
14;Banpo Bridge;Sinbanpo-ro, Seocho-gu, Seoul;0;1980;4.4;Banpo Bridge berada di atas Jembatan Jamsu dan jembatan dua tingkat pertama yang dibangun di Korea Selatan. Atraksi utama dari tempat ini adalah Rainbow Fountain, sebuah pertunjukan air mancur jembatan paling panjang yang dicatat oleh Guiness World Record Pertunjukkan Banpo Bridge Rainbow Fountain sendiri beroperasi setiap hari pada bulan April hingga Oktober.
15;Aqua Planet Jeju ;Seongsan-eup, Seopjikoji-ro, South Korea, Jeju-do, Seogwipo;248600;2012;4.4;Aqua Planet Jeju memiliki fasilitas akuarium terbesar dan menjadi rumah bagi 48.000 makhluk laut yang terbagi menjadi 500 spesies. Di tempat ini juga terdapat Pertunjukkan di Ocean Arena, Belajar dunia bawah laut di Marine Science dan masih banyak lagi.
